zone_id,instrument,week,label,direction,zone_confluence,conviction,status,e0_present,ec_score,ec_flags,anchor,sl_dist,offset,limit_px,entry,fill_time,r_result,mfe_r,mae_r,exit_time,block_flags,block_verdict,resolved_utc
xauusd-2026-W24-PRIMARY,xauusd,2026-W24,PRIMARY,SHORT,9.5,HIGH,NO_TOUCH,,,,,,,,,,,,,,,,2026-06-19T16:50:01Z
xauusd-2026-W24-SECONDARY,xauusd,2026-W24,SECONDARY,SHORT,9.5,HIGH,NO_TOUCH,,,,,,,,,,,,,,,,2026-06-19T16:50:01Z
eurusd-2026-W24-PRIMARY,eurusd,2026-W24,PRIMARY,SHORT,7.5,MEDIUM,NO_TOUCH,,,,,,,,,,,,,,,,2026-06-19T16:50:01Z
eurusd-2026-W24-SECONDARY,eurusd,2026-W24,SECONDARY,SHORT,6.5,MEDIUM,LIMIT_MISSED,True,7.5,,1.1579,0.002706,0.001353,1.159253,,,,,,,V3,N/A,2026-06-19T16:50:01Z
gbpusd-2026-W24-PRIMARY,gbpusd,2026-W24,PRIMARY,SHORT,8.0,MEDIUM,WIN_TP1,True,7.5,,1.33965,0.003486,0.001743,1.341393,1.341393,2026-06-10 13:00:00,2.5,2.51,0.27,2026-06-11 15:00:00,,CLEAN,2026-06-19T16:50:01Z
gbpusd-2026-W24-SECONDARY,gbpusd,2026-W24,SECONDARY,SHORT,6.5,MEDIUM,LOSS_SL,True,7.5,,1.33634,0.003444,0.001722,1.338062,1.338062,2026-06-09 08:00:00,-1.0,0.62,1.24,2026-06-10 13:00:00,V1b,CORRECT_SAVED,2026-06-19T16:50:01Z
eurgbp-2026-W24-PRIMARY,eurgbp,2026-W24,PRIMARY,LONG,8.0,MEDIUM,LIMIT_MISSED,True,6.0,,0.8626,0.001114,0.000891,0.861709,,,,,,,V3,N/A,2026-06-19T16:50:01Z
eurgbp-2026-W24-SECONDARY,eurgbp,2026-W24,SECONDARY,SHORT,7.5,MEDIUM,NO_TOUCH,,,,,,,,,,,,,,,,2026-06-19T16:50:01Z
audusd-2026-W24-PRIMARY,audusd,2026-W24,PRIMARY,SHORT,7.0,MEDIUM,NO_TOUCH,,,,,,,,,,,,,,,,2026-06-19T16:50:01Z
audusd-2026-W24-COUNTER,audusd,2026-W24,COUNTER,LONG,7.0,MEDIUM,LIMIT_MISSED,True,6.5,,0.69904,0.002221,0.001555,0.697485,,,,,,,,N/A,2026-06-19T16:50:02Z
nzdusd-2026-W24-PRIMARY,nzdusd,2026-W24,PRIMARY,SHORT,6.5,MEDIUM,NO_TOUCH,,,,,,,,,,,,,,,,2026-06-19T16:50:02Z
