tf,datetime,action,open,high,low,close,ref_close,flagged_utc
1h,2026-01-29 15:00:00,clamp_wick,5504.30873,5504.30873,5122.5375,5185.84741,5395.53372,2026-06-18T10:11:41Z
1h,2026-02-02 06:00:00,clamp_wick,4553.91723,4564.23887,4410.8453,4500.74852,4680.59911,2026-06-18T10:11:41Z
4h,2025-10-16 20:00:00,clamp_wick,4333.07,4530.0,4333.0,4436.75,4292.64,2026-06-18T10:11:44Z
4h,2026-01-28 20:00:00,clamp_wick,5326.98804,5589.6163,5323.99575,5518.91913,5310.53137,2026-06-18T10:11:44Z
4h,2026-01-29 04:00:00,clamp_wick,5546.6838,5597.22988,5521.64986,5548.48862,5327.17903,2026-06-18T10:11:44Z
4h,2026-01-30 00:00:00,clamp_wick,5439.18263,5451.71009,5128.9908,5197.61021,5185.84741,2026-06-18T10:11:44Z
4h,2026-02-02 04:00:00,clamp_wick,4647.29916,4708.33078,4410.8453,4593.38239,4772.4534,2026-06-18T10:11:44Z
4h,2026-03-23 04:00:00,clamp_wick,4351.3312,4382.12082,4104.81533,4198.4286,4400.00688,2026-06-18T10:11:44Z
1day,2026-02-02 00:00:00,clamp_wick,4745.30624,4879.10052,4410.8453,4772.4534,5010.78829,2026-06-18T10:11:46Z
1day,2026-01-28 00:00:00,drop_bar,5171.76974,5589.6163,5159.49412,5518.91913,4982.76588,2026-06-18T10:11:46Z
1day,2026-01-29 00:00:00,drop_bar,5521.22799,5597.22988,5122.5375,5438.94578,4982.76588,2026-06-18T10:11:46Z
