strategy,entry_time,exit_time,direction,entry,exit,size,risk_dist,pnl,r_mult,reason
Vol-target SMA 50/200,2018-12-31 00:00:00,2021-01-08 00:00:00,LONG,0.0,0.0,0.0,1.0,81299.23,0.0,regime_flip
Vol-target SMA 50/200,2021-06-09 00:00:00,2021-08-05 00:00:00,LONG,0.0,0.0,0.0,1.0,-8576.17,0.0,regime_flip
Vol-target SMA 50/200,2021-12-29 00:00:00,2022-01-16 00:00:00,LONG,0.0,0.0,0.0,1.0,2843.99,0.0,regime_flip
Vol-target SMA 50/200,2022-01-23 00:00:00,2022-06-20 00:00:00,LONG,0.0,0.0,0.0,1.0,602.46,0.0,regime_flip
Vol-target SMA 50/200,2022-12-28 00:00:00,2023-08-23 00:00:00,LONG,0.0,0.0,0.0,1.0,12981.9,0.0,regime_flip
London breakout,2018-01-02 08:00:00,2018-01-02 21:00:00,LONG,1312.79,1312.79,163.9344,6.1,-81.97,0.0,stop
London breakout,2018-01-03 08:00:00,2018-01-03 14:00:00,LONG,1316.19,1311.74,224.3507,4.45,-1110.54,-1.0,stop
London breakout,2018-01-04 08:00:00,2018-01-04 23:00:00,LONG,1314.23,1321.83,146.3106,6.74,1038.81,1.13,eod
London breakout,2018-01-09 08:00:00,2018-01-09 23:00:00,SHORT,1313.19,1310.49,144.9476,6.87,318.88,0.39,eod
London breakout,2018-01-11 08:00:00,2018-01-11 23:00:00,LONG,1320.05,1328.93,224.832,4.44,1884.09,2.0,tp
London breakout,2018-01-15 10:00:00,2018-01-15 23:00:00,SHORT,1340.07,1341.06,226.2741,4.49,-337.15,-0.22,eod
London breakout,2018-01-17 11:00:00,2018-01-17 13:00:00,SHORT,1332.98,1338.84,172.6055,5.86,-1097.77,-1.0,stop
London breakout,2018-01-18 09:00:00,2018-01-18 23:00:00,LONG,1331.35,1332.11,159.4302,6.27,41.45,0.12,eod
London breakout,2018-01-22 10:00:00,2018-01-22 23:00:00,LONG,1334.48,1336.14,161.9521,6.17,187.86,0.27,eod
London breakout,2018-01-23 09:00:00,2018-01-23 09:00:00,SHORT,1335.13,1335.13,289.108,3.46,-144.55,-0.0,stop
London breakout,2018-01-23 10:00:00,2018-01-23 10:00:00,LONG,1338.59,1335.13,288.2724,3.46,-1141.56,-1.0,stop
London breakout,2018-01-23 11:00:00,2018-01-23 23:00:00,LONG,1338.59,1341.01,284.5565,3.46,546.35,0.7,eod
London breakout,2018-01-24 08:00:00,2018-01-24 23:00:00,LONG,1350.81,1363.43,90.6978,10.9,1099.26,1.16,eod
London breakout,2018-01-25 09:00:00,2018-01-25 14:00:00,SHORT,1356.35,1356.35,103.8613,9.62,-51.93,-0.0,stop
London breakout,2018-01-29 08:00:00,2018-01-29 11:00:00,SHORT,1345.24,1337.7,264.7498,3.77,1863.84,2.0,tp
London breakout,2018-01-30 09:00:00,2018-01-30 23:00:00,LONG,1346.12,1340.63,86.4924,11.74,-518.09,-0.47,eod
London breakout,2018-01-31 08:00:00,2018-01-31 12:00:00,LONG,1344.84,1340.14,214.8528,4.7,-1117.23,-1.0,stop
London breakout,2018-02-06 08:00:00,2018-02-06 10:00:00,SHORT,1339.09,1328.21,183.3753,5.44,1903.44,2.0,tp
London breakout,2018-02-06 11:00:00,2018-02-06 11:00:00,SHORT,1339.09,1328.21,186.7057,5.44,1938.0,2.0,tp
London breakout,2018-02-07 08:00:00,2018-02-07 12:00:00,SHORT,1327.03,1316.65,199.2534,5.19,1968.62,2.0,tp
London breakout,2018-02-08 08:00:00,2018-02-08 18:00:00,LONG,1313.55,1322.39,238.1935,4.42,1986.53,2.0,tp
London breakout,2018-02-12 08:00:00,2018-02-12 10:00:00,SHORT,1319.86,1324.45,233.44,4.59,-1188.21,-1.0,stop
London breakout,2018-02-12 11:00:00,2018-02-12 23:00:00,LONG,1324.45,1326.02,230.597,4.59,246.74,0.34,eod
London breakout,2018-02-13 09:00:00,2018-02-13 18:00:00,SHORT,1324.62,1330.68,174.877,6.06,-1147.19,-1.0,stop
London breakout,2018-02-14 08:00:00,2018-02-14 08:00:00,SHORT,1329.61,1329.61,178.7387,5.86,-89.37,-0.0,stop
London breakout,2018-02-14 09:00:00,2018-02-14 09:00:00,LONG,1335.47,1329.61,178.4336,5.86,-1134.84,-1.0,stop
London breakout,2018-02-14 10:00:00,2018-02-14 10:00:00,LONG,1335.47,1335.47,176.3448,5.86,-88.17,0.0,stop
London breakout,2018-02-14 11:00:00,2018-02-14 11:00:00,LONG,1335.47,1347.19,176.0439,5.86,1975.21,2.0,tp
London breakout,2018-02-15 10:00:00,2018-02-15 21:00:00,SHORT,1350.29,1357.04,155.628,6.75,-1128.3,-1.0,stop
London breakout,2018-02-19 08:00:00,2018-02-19 22:00:00,SHORT,1346.22,1340.46,360.5652,2.88,1896.57,2.0,tp
London breakout,2018-02-20 08:00:00,2018-02-20 09:00:00,SHORT,1336.53,1341.77,201.4486,5.24,-1156.32,-1.0,stop
London breakout,2018-02-20 11:00:00,2018-02-20 11:00:00,SHORT,1336.53,1336.53,199.0497,5.24,-99.52,-0.0,stop
London breakout,2018-02-21 08:00:00,2018-02-21 14:00:00,LONG,1329.85,1329.85,213.7638,4.87,-106.88,0.0,stop
London breakout,2018-02-22 08:00:00,2018-02-22 23:00:00,LONG,1324.7,1327.05,269.1431,3.86,497.91,0.61,eod
London breakout,2018-02-26 08:00:00,2018-02-26 09:00:00,SHORT,1336.28,1336.28,228.1238,4.57,-114.06,-0.0,stop
London breakout,2018-02-26 10:00:00,2018-02-26 20:00:00,SHORT,1336.28,1336.28,227.6246,4.57,-113.81,-0.0,stop
London breakout,2018-02-27 08:00:00,2018-02-27 08:00:00,SHORT,1331.34,1331.34,310.7689,3.34,-155.38,-0.0,stop
London breakout,2018-02-27 09:00:00,2018-02-27 10:00:00,SHORT,1331.34,1324.66,309.8385,3.34,1914.8,2.0,tp
London breakout,2018-02-27 11:00:00,2018-02-27 11:00:00,SHORT,1331.34,1324.66,315.1076,3.34,1947.36,2.0,tp
London breakout,2018-02-28 08:00:00,2018-02-28 09:00:00,SHORT,1316.85,1321.21,245.4948,4.36,-1193.1,-1.0,stop
London breakout,2018-02-28 10:00:00,2018-02-28 23:00:00,SHORT,1316.85,1314.52,242.4768,4.36,443.73,0.53,eod
London breakout,2018-03-01 08:00:00,2018-03-01 08:00:00,SHORT,1309.99,1309.99,206.7103,5.13,-103.36,-0.0,stop
London breakout,2018-03-01 09:00:00,2018-03-01 10:00:00,SHORT,1309.99,1309.99,206.3074,5.13,-103.15,-0.0,stop
London breakout,2018-03-01 11:00:00,2018-03-01 11:00:00,SHORT,1309.99,1309.99,205.9052,5.13,-102.95,-0.0,stop
London breakout,2018-03-05 08:00:00,2018-03-05 23:00:00,SHORT,1323.36,1323.36,244.0358,4.32,-122.02,-0.0,stop
London breakout,2018-03-06 08:00:00,2018-03-06 23:00:00,LONG,1328.04,1332.68,138.394,7.6,572.95,0.61,eod
London breakout,2018-03-07 08:00:00,2018-03-07 23:00:00,SHORT,1330.5,1327.38,226.7879,4.66,594.18,0.67,eod
London breakout,2018-03-08 08:00:00,2018-03-08 23:00:00,SHORT,1323.92,1317.94,212.3279,5.0,1163.56,1.2,eod
London breakout,2018-03-12 08:00:00,2018-03-12 16:00:00,SHORT,1316.3,1324.07,137.994,7.77,-1141.21,-1.0,stop
London breakout,2018-03-13 08:00:00,2018-03-13 08:00:00,LONG,1321.36,1321.36,239.3028,4.43,-119.65,0.0,stop
London breakout,2018-03-13 09:00:00,2018-03-13 10:00:00,LONG,1321.36,1321.36,238.7627,4.43,-119.38,0.0,stop
London breakout,2018-03-13 11:00:00,2018-03-13 23:00:00,LONG,1321.36,1327.81,238.2237,4.43,1417.43,1.46,eod
London breakout,2018-03-14 08:00:00,2018-03-14 23:00:00,SHORT,1323.34,1326.5,162.1114,6.59,-593.33,-0.48,eod
London breakout,2018-03-15 08:00:00,2018-03-15 23:00:00,SHORT,1322.26,1316.22,190.5871,5.57,1055.85,1.08,eod
London breakout,2018-03-19 08:00:00,2018-03-19 11:00:00,LONG,1312.94,1312.94,201.3488,5.32,-100.67,0.0,stop
London breakout,2018-03-20 08:00:00,2018-03-20 23:00:00,SHORT,1311.87,1313.96,216.4296,4.94,-560.55,-0.42,eod
London breakout,2018-03-21 08:00:00,2018-03-21 14:00:00,LONG,1317.81,1328.09,206.7071,5.14,2021.6,2.0,tp
London breakout,2018-03-22 11:00:00,2018-03-22 20:00:00,SHORT,1327.31,1333.83,165.8983,6.52,-1164.61,-1.0,stop
London breakout,2018-03-26 08:00:00,2018-03-26 23:00:00,LONG,1349.14,1353.96,185.9446,5.75,803.28,0.84,eod
London breakout,2018-03-27 08:00:00,2018-03-27 23:00:00,SHORT,1348.03,1346.11,123.8532,8.69,175.87,0.22,eod
London breakout,2018-03-28 08:00:00,2018-03-28 23:00:00,SHORT,1336.51,1327.45,111.882,9.63,957.71,0.94,eod
London breakout,2018-04-02 08:00:00,2018-04-02 13:00:00,LONG,1332.38,1340.48,268.2572,4.05,2038.75,2.0,tp
London breakout,2018-04-03 09:00:00,2018-04-03 23:00:00,SHORT,1336.17,1334.56,191.5924,5.77,212.67,0.28,eod
London breakout,2018-04-04 08:00:00,2018-04-04 14:00:00,LONG,1344.8,1332.96,93.4676,11.84,-1153.39,-1.0,stop
London breakout,2018-04-05 09:00:00,2018-04-05 19:00:00,SHORT,1324.37,1330.49,178.8653,6.12,-1184.09,-1.0,stop
