
==============================================================================
AUDUSD Signal Edge Scan — D1 fwd=5 — baseline LNG=50.3% / SHT=49.5% — bars=2987
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
E13   VIX>20                          LNG     890   59.2    +8.9   +0.19   5.34 **
E15   VIX<15                          SHT    1082   54.8    +5.3   +0.13   3.51 **
G7    September                       SHT     236   57.6    +8.2   +0.18   2.51 *
C11   Near 20d HIGH                   SHT     242   56.6    +7.1   +0.19   2.22 *
D6s   ATR pctile<0.2 (calm)           SHT     880   52.8    +3.4   +0.05   2.00 *
C28   ADX<20 & RSI<30 (range OS)      LNG      10   80.0   +29.7   +1.79   1.88  INSUFF
M1    US2Y(DGS2) 20d slope<0          LNG    1329   52.8    +2.6   +0.05   1.86 
A3    RSI>65                          SHT     247   55.1    +5.6   +0.20   1.76 
B10   Close>Keltner high              SHT     290   54.5    +5.0   +0.19   1.71 
M2    US2Y 20d slope>0                SHT    1633   51.6    +2.1   +0.05   1.70 
C14   MACD cross down                 SHT     119   57.1    +7.7   +0.15   1.68 
A2    RSI<30                          LNG     138   57.2    +7.0   +0.29   1.64 
A11   CCI>+100                        SHT     358   53.6    +4.2   +0.19   1.58 
B2    Close<BB lower                  LNG     158   56.3    +6.1   +0.30   1.52 
B7    z-score<-2 → long               LNG     158   56.3    +6.1   +0.30   1.52 
D2    ATR>1.5x med (expanding)        LNG      31   61.3   +11.0   +0.02   1.23 
E8    DXY 20d slope<0                 LNG    1431   51.9    +1.6   -0.00   1.20 
A5    RSI2<10 (Connors)               LNG     803   52.3    +2.0   +0.05   1.15 
G6    January                         LNG     266   53.8    +3.5   +0.03   1.14 
E9    DXY 20d slope>0                 SHT    1532   50.9    +1.5   +0.01   1.14 
A4    RSI<35                          LNG     326   53.4    +3.1   +0.10   1.12 
A9    Williams%R>-20                  SHT     672   51.5    +2.0   +0.11   1.05 
B5    BB squeeze (bw 20-low)          LNG     463   52.7    +2.4   +0.04   1.05 
A12   CCI<-100                        LNG     366   52.7    +2.5   +0.19   0.94 
G1s   Mon → short                     SHT     596   51.3    +1.9   +0.01   0.92 
C12   Near 20d LOW                    LNG     237   53.2    +2.9   +0.10   0.89 
C13   MACD cross up                   LNG     118   54.2    +4.0   +0.18   0.86 
G9    Turn of month (day>=26)         LNG     532   52.1    +1.8   +0.01   0.83 
A8    Stoch K<20                      LNG     622   51.8    +1.5   +0.06   0.75 
M4    US2Y 5d drop>0.15               LNG     154   53.2    +3.0   -0.08   0.74 
M3    US2Y 5d jump>+0.15              SHT     206   51.9    +2.5   +0.12   0.71 
A7    Stoch K>80                      SHT     605   50.9    +1.4   +0.13   0.71 
D4    NR7                             LNG     432   51.9    +1.6   +0.05   0.66 
B9    Close<Keltner low               LNG     348   52.0    +1.7   +0.17   0.65 
G4    Thu → long                      LNG     597   51.4    +1.2   -0.01   0.56 
C1    Close>EMA20                     LNG    1460   51.0    +0.7   -0.03   0.53 
D1    ATR<20-med (compressed)         LNG    1561   50.9    +0.7   -0.01   0.52 
C2    Close<EMA20                     SHT    1521   50.1    +0.6   -0.00   0.50 
P2    Bearish engulfing               SHT     249   51.0    +1.5   +0.04   0.49 
C26   ADX>25 & EMA20>50               LNG     445   51.2    +1.0   +0.04   0.41 
B1    Close>BB upper                  SHT     141   51.1    +1.6   +0.15   0.38 
B8    z-score>+2 → short              SHT     141   51.1    +1.6   +0.15   0.38 
G2    Tue → long                      LNG     596   51.0    +0.7   -0.01   0.36 
P3    Bullish pin (tail≥2.5body)      LNG     496   51.0    +0.7   +0.01   0.33 
A10   Williams%R<-80                  LNG     672   50.7    +0.5   +0.03   0.25 
S1    Near big-figure (x.xx00)        LNG     914   50.4    +0.2   -0.01   0.10 
G5    Fri → long                      LNG     597   50.4    +0.2   -0.01   0.07 
G3    Wed → long                      LNG     596   50.3    +0.1   -0.01   0.03 
D5s   Inside bar                      SHT     402   49.5    +0.0   +0.00   0.02 
