
==============================================================================
EURGBP Signal Edge Scan — D1 fwd=5 — baseline LNG=49.0% / SHT=50.7% — bars=2987
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
A12   CCI<-100                        LNG     307   61.9   +12.9   +0.24   4.52 **
A4    RSI<35                          LNG     223   63.2   +14.2   +0.26   4.25 **
B9    Close<Keltner low               LNG     233   61.8   +12.8   +0.24   3.91 **
C12   Near 20d LOW                    LNG     450   58.0    +9.0   +0.15   3.82 **
A8    Stoch K<20                      LNG     691   54.8    +5.9   +0.13   3.08 **
A10   Williams%R<-80                  LNG     736   54.5    +5.5   +0.13   2.98 **
A11   CCI>+100                        SHT     377   58.1    +7.4   +0.09   2.88 **
A2    RSI<30                          LNG      48   68.8   +19.8   +0.30   2.74 **
B2    Close<BB lower                  LNG     130   60.0   +11.0   +0.15   2.51 *
B7    z-score<-2 → long               LNG     130   60.0   +11.0   +0.15   2.51 *
A5    RSI2<10 (Connors)               LNG     855   52.6    +3.6   +0.09   2.13 *
B11   TTM squeeze on                  LNG     598   53.2    +4.2   +0.06   2.05 *
C11   Near 20d HIGH                   SHT     294   56.5    +5.8   +0.06   1.99 
C28   ADX<20 & RSI<30 (range OS)      LNG       3  100.0   +51.0   +0.63   1.77  INSUFF
E16   VIX 1d spike>3                  LNG     112   57.1    +8.1   +0.37   1.73 
A1    RSI>70                          SHT     109   58.7    +8.0   +0.21   1.68 
A9    Williams%R>-20                  SHT     559   54.2    +3.5   +0.09   1.67 
B1    Close>BB upper                  SHT     159   56.6    +5.9   +0.18   1.50 
B8    z-score>+2 → short              SHT     159   56.6    +5.9   +0.18   1.50 
D6    ATR pctile<0.2 (calm)           LNG     801   51.6    +2.6   +0.12   1.45 
P3    Bullish pin (tail≥2.5body)      LNG     520   51.9    +2.9   +0.06   1.34 
X7    GBP rate 5d jump>+0.05          SHT      93   57.0    +6.3   +0.13   1.22 
B6    BB expanding (>20-med)          LNG    1410   50.6    +1.6   +0.06   1.18 
G2s   Tue → short                     SHT     596   52.9    +2.2   -0.02   1.07 
X3    EUR-GBP diff 5d widen>+0.05     LNG      84   54.8    +5.8   +0.34   1.06 
A3    RSI>65                          SHT     272   53.7    +3.0   +0.09   0.99 
A7    Stoch K>80                      SHT     490   52.9    +2.2   +0.04   0.97 
G9    Turn of month (day>=26)         LNG     532   50.8    +1.8   +0.13   0.81 
D4s   NR7                             SHT     477   52.4    +1.7   +0.03   0.76 
D5s   Inside bar                      SHT     392   52.6    +1.9   +0.04   0.74 
G4    Thu → long                      LNG     597   50.3    +1.3   +0.02   0.61 
B10   Close>Keltner high              SHT     295   52.2    +1.5   +0.02   0.53 
G3    Wed → long                      LNG     596   50.0    +1.0   +0.02   0.49 
B5    BB squeeze (bw 20-low)          LNG     432   50.0    +1.0   +0.00   0.42 
D1    ATR<20-med (compressed)         LNG    1619   49.5    +0.5   +0.04   0.39 
A6    RSI2>90 (Connors)               SHT      97   51.5    +0.9   -0.05   0.17 
X8    GBP rate 5d drop>0.05           LNG      56   50.0    +1.0   +0.27   0.15 
G5s   Fri → short                     SHT     597   50.9    +0.3   -0.02   0.12 
