
==============================================================================
EURJPY Signal Edge Scan — D1 fwd=5 — baseline LNG=55.6% / SHT=44.2% — bars=1159
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
B10   Close>Keltner high              SHT     190   56.3   +12.1   +0.14   3.36 **
A8    Stoch K<20                      LNG      78   73.1   +17.4   +0.62   3.10 **
A1    RSI>70                          SHT      77   61.0   +16.8   +0.38   2.98 **
A3    RSI>65                          SHT     194   53.6    +9.4   +0.08   2.64 **
B11   TTM squeeze on                  LNG     179   64.8    +9.2   +0.35   2.47 *
A10   Williams%R<-80                  LNG     109   65.1    +9.5   +0.43   2.00 
B9    Close<Keltner low               LNG      73   67.1   +11.5   +0.33   1.98 
A12   CCI<-100                        LNG      85   65.9   +10.2   +0.32   1.90 
A9    Williams%R>-20                  SHT     346   48.8    +4.6   -0.10   1.74 
A4    RSI<35                          LNG      39   69.2   +13.6   +0.36   1.71 
A5    RSI2<10 (Connors)               LNG     272   59.9    +4.3   +0.19   1.43 
B1    Close>BB upper                  SHT      77   51.9    +7.8   +0.00   1.37 
B8    z-score>+2 → short              SHT      77   51.9    +7.8   +0.00   1.37 
G7    September                       SHT      86   50.0    +5.8   -0.15   1.08 
E13   VIX>20                          LNG     406   57.9    +2.2   +0.24   0.91 
G4    Thu → long                      LNG     231   58.4    +2.8   +0.16   0.86 
C14   MACD cross down                 SHT      54   50.0    +5.8   -0.10   0.86 
D5s   Inside bar                      SHT     158   47.5    +3.3   -0.09   0.83 
G2s   Tue → short                     SHT     231   46.8    +2.6   -0.16   0.78 
P3    Bullish pin (tail≥2.5body)      LNG     204   58.3    +2.7   +0.21   0.78 
C11   Near 20d HIGH                   SHT     203   46.8    +2.6   -0.13   0.75 
D6    ATR pctile<0.2 (calm)           LNG     277   57.8    +2.1   +0.27   0.71 
C29   ADX<20 & RSI>70 (range OB)      SHT       5   60.0   +15.8   +0.14   0.71  INSUFF
A7    Stoch K>80                      SHT     334   46.1    +1.9   -0.16   0.70 
B5    BB squeeze (bw 20-low)          LNG     191   58.1    +2.5   +0.28   0.69 
E15   VIX<15                          SHT     277   45.8    +1.7   -0.10   0.55 
C12   Near 20d LOW                    LNG      30   60.0    +4.4   +0.15   0.48 
D1    ATR<20-med (compressed)         LNG     606   56.6    +1.0   +0.23   0.48 
A2    RSI<30                          LNG      18   61.1    +5.5   -0.24   0.47  INSUFF
A6    RSI2>90 (Connors)               SHT      40   47.5    +3.3   -0.21   0.42 
A11   CCI>+100                        SHT     206   45.6    +1.4   -0.21   0.42 
P4    Bearish pin                     SHT     160   45.6    +1.4   -0.16   0.36 
B6    BB expanding (>20-med)          LNG     531   56.3    +0.7   +0.13   0.31 
G3s   Wed → short                     SHT     231   45.0    +0.8   -0.16   0.25 
B2    Close<BB lower                  LNG      49   57.1    +1.5   +0.14   0.21 
B7    z-score<-2 → long               LNG      49   57.1    +1.5   +0.14   0.21 
P1    Bullish engulfing               LNG      73   56.2    +0.5   +0.11   0.09 
D4    NR7                             LNG     177   55.9    +0.3   +0.24   0.08 
G1    Mon → long                      LNG     231   55.8    +0.2   +0.16   0.06 
G5s   Fri → short                     SHT     230   44.3    +0.2   -0.16   0.05 
P2    Bearish engulfing               SHT      79   44.3    +0.1   -0.26   0.02 
G5    Fri → long                      LNG     230   55.7    +0.0   +0.16   0.01 
D4s   NR7                             SHT     177   44.1    -0.1   -0.24  -0.03 
G1s   Mon → short                     SHT     231   43.7    -0.5   -0.16  -0.14 
D2    ATR>1.5x med (expanding)        LNG      35   54.3    -1.3   -0.02  -0.16 
B2r   Close<BB lower REV              SHT      49   42.9    -1.3   -0.14  -0.19 
G3    Wed → long                      LNG     231   55.0    -0.7   +0.16  -0.20 
C9    Donchian20 breakout UP          LNG     111   54.1    -1.6   +0.08  -0.33 
E16   VIX 1d spike>3                  LNG      42   52.4    -3.3   +0.04  -0.42 
C12r  Near 20d LOW REV                SHT      30   40.0    -4.2   -0.15  -0.46 
D1s   ATR<20-med (compressed)         SHT     606   43.2    -1.0   -0.23  -0.48 
D6s   ATR pctile<0.2 (calm)           SHT     277   42.2    -2.0   -0.27  -0.66 
C11r  Near 20d HIGH REV               LNG     203   53.2    -2.4   +0.13  -0.70 
C13   MACD cross up                   LNG      55   50.9    -4.7   +0.04  -0.71 
G2    Tue → long                      LNG     231   53.2    -2.4   +0.16  -0.73 
D5    Inside bar                      LNG     158   52.5    -3.1   +0.09  -0.78 
C5    Close>EMA200                    LNG     980   54.2    -1.4   +0.11  -0.91 
G4s   Thu → short                     SHT     231   41.1    -3.1   -0.16  -0.94 
C22   PSAR bull                       LNG     664   53.8    -1.9   +0.18  -0.97 
C23   PSAR bear                       SHT     489   41.9    -2.3   -0.13  -1.01 
C10   Donchian20 breakdown            SHT      32   34.4    -9.8   -0.43  -1.12 
X9    EUR rate(ECB) 20d slope>0       LNG     536   53.0    -2.6   +0.09  -1.23 
C7    EMA20>EMA50                     LNG     905   53.6    -2.0   +0.06  -1.24 
X10   EUR rate 20d slope<0            SHT     583   41.5    -2.7   -0.20  -1.31 
