
==============================================================================
GBPJPY Signal Edge Scan — D1 fwd=5 — baseline LNG=56.7% / SHT=43.3% — bars=1159
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
B10   Close>Keltner high              SHT     165   58.8   +15.5   +0.16   4.01 **
A3    RSI>65                          SHT     191   56.5   +13.2   +0.12   3.69 **
A11   CCI>+100                        SHT     167   55.7   +12.4   +0.13   3.22 **
B1    Close>BB upper                  SHT      57   63.2   +19.8   +0.42   3.02 **
B8    z-score>+2 → short              SHT      57   63.2   +19.8   +0.42   3.02 **
C11   Near 20d HIGH                   SHT     199   51.8    +8.4   +0.05   2.40 *
G7    September                       SHT      86   55.8   +12.5   -0.06   2.34 *
B9    Close<Keltner low               LNG      73   69.9   +13.2   +0.56   2.27 *
A4    RSI<35                          LNG      45   73.3   +16.7   +0.65   2.26 *
A12   CCI<-100                        LNG      96   67.7   +11.0   +0.53   2.18 *
A1    RSI>70                          SHT      92   52.2    +8.8   +0.11   1.71 
C28   ADX<20 & RSI<30 (range OS)      LNG       3  100.0   +43.3   +0.76   1.51  INSUFF
A7    Stoch K>80                      SHT     365   47.1    +3.8   -0.06   1.46 
A2    RSI<30                          LNG      21   71.4   +14.8   +0.69   1.36  INSUFF
B11   TTM squeeze on                  LNG     181   61.3    +4.7   +0.23   1.26 
A9    Williams%R>-20                  SHT     376   46.3    +2.9   -0.03   1.15 
D6s   ATR pctile<0.2 (calm)           SHT     287   46.7    +3.4   -0.10   1.15 
C29   ADX<20 & RSI>70 (range OB)      SHT       1  100.0   +56.7   +2.93   1.14  INSUFF
A8    Stoch K<20                      LNG      88   62.5    +5.8   +0.37   1.10 
G2s   Tue → short                     SHT     231   46.8    +3.4   -0.15   1.05 
B2    Close<BB lower                  LNG      50   64.0    +7.3   +0.39   1.05 
B7    z-score<-2 → long               LNG      50   64.0    +7.3   +0.39   1.05 
A5    RSI2<10 (Connors)               LNG     276   59.8    +3.1   +0.25   1.04 
D2    ATR>1.5x med (expanding)        LNG      32   65.6    +9.0   +0.76   1.02 
E13   VIX>20                          LNG     406   58.9    +2.2   +0.18   0.89 
D4s   NR7                             SHT     174   46.6    +3.2   -0.13   0.86 
A10   Williams%R<-80                  LNG     119   59.7    +3.0   +0.16   0.66 
X9    base rate(IUDSOIA) 20d slope>0  LNG     745   57.7    +1.0   +0.18   0.58 
D5s   Inside bar                      SHT     176   45.5    +2.1   -0.21   0.57 
G3    Wed → long                      LNG     231   58.4    +1.8   +0.14   0.54 
G5    Fri → long                      LNG     230   58.3    +1.6   +0.14   0.49 
D1    ATR<20-med (compressed)         LNG     608   57.6    +0.9   +0.17   0.44 
B5    BB squeeze (bw 20-low)          LNG     163   58.3    +1.6   +0.12   0.41 
P3    Bullish pin (tail≥2.5body)      LNG     217   58.1    +1.4   +0.12   0.41 
X10   base rate(IUDSOIA) 20d slope<0  SHT     347   44.1    +0.8   -0.21   0.29 
C14   MACD cross down                 SHT      51   45.1    +1.8   -0.02   0.26 
B6    BB expanding (>20-med)          LNG     498   57.0    +0.4   +0.16   0.16 
G1    Mon → long                      LNG     231   57.1    +0.5   +0.15   0.14 
G4s   Thu → short                     SHT     231   43.7    +0.4   -0.14   0.12 
E15   VIX<15                          SHT     277   43.7    +0.4   -0.16   0.12 
C12   Near 20d LOW                    LNG      33   57.6    +0.9   +0.33   0.10 
P2    Bearish engulfing               SHT      78   43.6    +0.3   -0.03   0.05 
P4    Bearish pin                     SHT     171   43.3    -0.1   -0.08  -0.01 
C12r  Near 20d LOW REV                SHT      33   42.4    -0.9   -0.33  -0.10 
G4    Thu → long                      LNG     231   56.3    -0.4   +0.14  -0.12 
G1s   Mon → short                     SHT     231   42.9    -0.5   -0.15  -0.14 
C24   ROC10>0                         LNG     704   56.2    -0.4   +0.10  -0.23 
D1s   ATR<20-med (compressed)         SHT     608   42.4    -0.9   -0.17  -0.44 
G5s   Fri → short                     SHT     230   41.7    -1.6   -0.14  -0.49 
G3s   Wed → short                     SHT     231   41.6    -1.8   -0.14  -0.54 
D5    Inside bar                      LNG     176   54.5    -2.1   +0.21  -0.57 
C13   MACD cross up                   LNG      52   51.9    -4.7   +0.03  -0.69 
C25   ROC10<0                         SHT     439   41.7    -1.6   -0.23  -0.69 
C22   PSAR bull                       LNG     688   55.2    -1.4   +0.11  -0.76 
P1    Bullish engulfing               LNG      71   52.1    -4.6   +0.13  -0.78 
D4    NR7                             LNG     174   53.4    -3.2   +0.13  -0.86 
C23   PSAR bear                       SHT     465   41.3    -2.0   -0.20  -0.89 
A6    RSI2>90 (Connors)               SHT      39   35.9    -7.4   -0.28  -0.94 
B2r   Close<BB lower REV              SHT      50   36.0    -7.3   -0.39  -1.05 
G2    Tue → long                      LNG     231   53.2    -3.4   +0.15  -1.05 
