
==============================================================================
GBPUSD Signal Edge Scan — D1 fwd=5 — baseline LNG=48.8% / SHT=51.1% — bars=2981
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
E10   DXY 1d jump>0.5                 SHT     300   67.0   +15.9   +0.69   5.51 **
C12   Near 20d LOW                    LNG     170   68.8   +20.0   +0.56   5.22 **
A10   Williams%R<-80                  LNG     579   56.5    +7.7   +0.24   3.68 **
A3    RSI>65                          SHT     258   62.4   +11.3   +0.20   3.63 **
B10   Close>Keltner high              SHT     273   61.9   +10.8   +0.23   3.57 **
A1    RSI>70                          SHT      97   69.1   +18.0   +0.29   3.54 **
A8    Stoch K<20                      LNG     493   56.6    +7.8   +0.22   3.45 **
C11   Near 20d HIGH                   SHT     214   61.2   +10.1   +0.22   2.96 **
B9    Close<Keltner low               LNG     312   55.8    +6.9   +0.19   2.45 *
C14   MACD cross down                 SHT     114   61.4   +10.3   +0.37   2.20 *
M1    US2Y(DGS2) 20d slope<0          LNG    1325   51.5    +2.6   +0.06   1.93 
G7    September                       SHT     236   57.2    +6.1   +0.22   1.87 
C22   PSAR bull                       LNG    1462   51.0    +2.2   +0.04   1.68 
C23   PSAR bear                       SHT    1513   53.3    +2.2   +0.07   1.68 
B11   TTM squeeze on                  LNG     537   52.3    +3.5   +0.02   1.62 
B2    Close<BB lower                  LNG     167   55.1    +6.3   +0.20   1.62 
B7    z-score<-2 → long               LNG     167   55.1    +6.3   +0.20   1.62 
C29   ADX<20 & RSI>70 (range OB)      SHT       6   83.3   +32.2   +0.38   1.58  INSUFF
A9    Williams%R>-20                  SHT     602   54.3    +3.2   +0.15   1.58 
M2    US2Y 20d slope>0                SHT    1631   53.0    +1.9   +0.07   1.56 
D1    ATR<20-med (compressed)         LNG    1573   50.7    +1.9   +0.02   1.51 
C13   MACD cross up                   LNG     113   54.9    +6.0   -0.09   1.29 
E13   VIX>20                          LNG     888   50.8    +2.0   -0.00   1.17 
A7    Stoch K>80                      SHT     553   53.5    +2.4   +0.11   1.14 
D4    NR7                             LNG     431   51.5    +2.7   +0.04   1.11 
M4    US2Y 5d drop>0.15               LNG     156   53.2    +4.4   +0.01   1.09 
E15   VIX<15                          SHT    1079   52.4    +1.3   -0.01   0.82 
A4    RSI<35                          LNG     333   51.1    +2.2   +0.09   0.81 
G4    Thu → long                      LNG     596   50.3    +1.5   -0.02   0.74 
B5    BB squeeze (bw 20-low)          LNG     451   50.6    +1.7   +0.05   0.74 
E8    DXY 20d slope<0                 LNG    1429   49.8    +0.9   -0.02   0.70 
G6    January                         LNG     265   50.9    +2.1   +0.13   0.69 
D5    Inside bar                      LNG     418   50.5    +1.7   +0.05   0.68 
C28   ADX<20 & RSI<30 (range OS)      LNG       3   66.7   +17.8   -0.89   0.62  INSUFF
G2s   Tue → short                     SHT     595   52.3    +1.2   +0.02   0.57 
E9    DXY 20d slope>0                 SHT    1528   51.7    +0.6   +0.00   0.46 
D6    ATR pctile<0.2 (calm)           LNG     755   49.5    +0.7   -0.00   0.39 
C7    EMA20>EMA50                     LNG    1543   49.1    +0.3   +0.02   0.24 
G3s   Wed → short                     SHT     594   51.5    +0.4   +0.01   0.20 
C8    EMA20<EMA50                     SHT    1432   51.3    +0.2   +0.05   0.16 
