
==============================================================================
NZDUSD Signal Edge Scan — D1 fwd=5 — baseline LNG=49.2% / SHT=50.4% — bars=2987
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
B11   TTM squeeze on                  LNG     401   56.9    +7.6   +0.20   3.06 **
B5    BB squeeze (bw 20-low)          LNG     443   55.8    +6.5   +0.14   2.75 **
E13   VIX>20                          LNG     890   52.5    +3.2   +0.14   1.94 
C14   MACD cross down                 SHT     116   57.8    +7.4   +0.16   1.59 
E15   VIX<15                          SHT    1082   52.8    +2.4   +0.15   1.58 
P1    Bullish engulfing               LNG     170   54.7    +5.5   -0.03   1.43 
P3    Bullish pin (tail≥2.5body)      LNG     455   52.3    +3.1   +0.06   1.31 
E8    DXY 20d slope<0                 LNG    1431   50.8    +1.6   +0.01   1.19 
A7    Stoch K>80                      SHT     589   52.8    +2.4   +0.11   1.18 
B1    Close>BB upper                  SHT     142   54.9    +4.6   +0.21   1.09 
B8    z-score>+2 → short              SHT     142   54.9    +4.6   +0.21   1.09 
A9    Williams%R>-20                  SHT     669   52.3    +1.9   +0.11   1.01 
C11   Near 20d HIGH                   SHT     212   53.8    +3.4   +0.19   0.99 
G7    September                       SHT     236   53.4    +3.0   +0.26   0.93 
A12   CCI<-100                        LNG     364   51.6    +2.4   +0.05   0.92 
D2    ATR>1.5x med (expanding)        LNG      26   57.7    +8.5   +0.16   0.86  INSUFF
M4    US2Y 5d drop>0.15               LNG     154   52.6    +3.4   -0.08   0.84 
E9    DXY 20d slope>0                 SHT    1532   51.4    +1.0   +0.06   0.78 
A2    RSI<30                          LNG     171   52.0    +2.8   +0.02   0.74 
E10   DXY 1d jump>0.5                 SHT     301   52.5    +2.1   +0.05   0.74 
M3    US2Y 5d jump>+0.15              SHT     206   52.9    +2.5   +0.19   0.73 
D6s   ATR pctile<0.2 (calm)           SHT     796   51.6    +1.3   +0.14   0.71 
C18   Aroon up>70 & down<30           LNG     714   50.6    +1.3   -0.04   0.71 
A4    RSI<35                          LNG     404   51.0    +1.8   +0.01   0.71 
C12r  Near 20d LOW REV                SHT     261   52.5    +2.1   +0.10   0.69 
G2s   Tue → short                     SHT     596   51.7    +1.3   +0.04   0.64 
G1    Mon → long                      LNG     596   50.3    +1.1   -0.04   0.54 
G6    January                         LNG     266   50.8    +1.5   +0.00   0.50 
B9    Close<Keltner low               LNG     399   50.4    +1.1   +0.04   0.46 
C20   Supertrend bull                 LNG    1381   49.8    +0.6   -0.05   0.44 
G5    Fri → long                      LNG     597   49.9    +0.7   -0.04   0.34 
S1    Near big-figure (x.xx00)        LNG     896   49.8    +0.5   -0.04   0.33 
D1s   ATR<20-med (compressed)         SHT    1544   50.8    +0.4   +0.07   0.32 
A11   CCI>+100                        SHT     326   51.2    +0.9   +0.18   0.31 
C21   Supertrend bear                 SHT    1601   50.7    +0.3   +0.03   0.28 
B2    Close<BB lower                  LNG     153   50.3    +1.1   -0.06   0.27 
B7    z-score<-2 → long               LNG     153   50.3    +1.1   -0.06   0.27 
C27   ADX>25 & EMA20<50               SHT     720   50.8    +0.5   +0.08   0.25 
G3s   Wed → short                     SHT     596   50.8    +0.5   +0.04   0.23 
D4    NR7                             LNG     431   49.7    +0.4   -0.03   0.18 
A8    Stoch K<20                      LNG     686   49.6    +0.3   -0.04   0.17 
D5    Inside bar                      LNG     391   49.6    +0.4   -0.06   0.15 
G4    Thu → long                      LNG     597   49.4    +0.2   -0.04   0.09 
G4s   Thu → short                     SHT     597   50.4    +0.0   +0.04   0.02 
C24   ROC10>0                         LNG    1452   49.2    -0.1   -0.05  -0.04 
C1    Close>EMA20                     LNG    1412   49.2    -0.1   -0.08  -0.06 
G9    Turn of month (day>=26)         LNG     532   49.1    -0.2   +0.02  -0.08 
D5s   Inside bar                      SHT     391   50.1    -0.2   +0.06  -0.10 
C2    Close<EMA20                     SHT    1569   50.2    -0.1   +0.00  -0.12 
D1    ATR<20-med (compressed)         LNG    1544   49.0    -0.2   -0.07  -0.16 
C25   ROC10<0                         SHT    1518   50.1    -0.2   +0.02  -0.18 
D4s   NR7                             SHT     431   49.9    -0.5   +0.03  -0.20 
C19   Aroon down>70 & up<30           SHT     726   49.9    -0.5   +0.04  -0.27 
S1s   Near big-figure                 SHT     896   49.9    -0.5   +0.04  -0.29 
G5s   Fri → short                     SHT     597   49.7    -0.6   +0.04  -0.30 
B2r   Close<BB lower REV              SHT     153   49.0    -1.3   +0.06  -0.33 
G3    Wed → long                      LNG     596   48.3    -0.9   -0.04  -0.44 
C29   ADX<20 & RSI>70 (range OB)      SHT       5   40.0   -10.4   -0.12  -0.46  INSUFF
B6    BB expanding (>20-med)          LNG    1463   48.6    -0.6   -0.04  -0.48 
C13   MACD cross up                   LNG     115   47.0    -2.3   -0.11  -0.49 
G2    Tue → long                      LNG     596   48.2    -1.1   -0.04  -0.52 
C23   PSAR bear                       SHT    1515   49.6    -0.7   -0.00  -0.57 
B10   Close>Keltner high              SHT     316   48.7    -1.6   +0.05  -0.58 
G1s   Mon → short                     SHT     596   49.2    -1.2   +0.04  -0.59 
A10   Williams%R<-80                  LNG     734   48.1    -1.1   -0.04  -0.62 
D6    ATR pctile<0.2 (calm)           LNG     796   48.1    -1.1   -0.14  -0.63 
