
==============================================================================
USDCAD Signal Edge Scan — D1 fwd=5 — baseline LNG=50.6% / SHT=49.1% — bars=4288
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
A7    Stoch K>80                      SHT     885   53.1    +4.0   +0.05   2.38 *
M1    US2Y(DGS2) 20d slope<0          SHT    2022   51.4    +2.3   -0.01   2.10 *
M2    US2Y 20d slope>0                LNG    2241   52.7    +2.1   +0.06   1.97 
P3    Bullish pin (tail≥2.5body)      LNG     714   54.1    +3.4   +0.11   1.84 
A9    Williams%R>-20                  SHT     997   52.0    +2.9   +0.04   1.80 
A4    RSI<35                          LNG     376   55.1    +4.4   +0.19   1.72 
W5    WTI 5d move>+5%                 SHT     533   52.7    +3.6   -0.01   1.67 
M3    US2Y 5d jump>+0.15              LNG     216   56.0    +5.4   +0.17   1.59 
B1r   Close>BB upper REV              LNG     267   54.7    +4.1   +0.11   1.33 
M4    US2Y 5d drop>0.15               SHT     157   53.5    +4.4   -0.02   1.10 
B9    Close<Keltner low               LNG     421   53.2    +2.6   +0.12   1.06 
A8    Stoch K<20                      LNG     890   52.4    +1.7   +0.12   1.04 
C12   Near 20d LOW                    LNG     505   52.9    +2.3   +0.12   1.01 
E8    DXY 20d slope<0                 SHT    2045   50.1    +1.0   -0.01   0.92 
A6    RSI2>90 (Connors)               SHT     148   52.7    +3.6   -0.01   0.88 
E9    DXY 20d slope>0                 LNG    2219   51.5    +0.8   +0.06   0.80 
A5    RSI2<10 (Connors)               LNG    1149   51.7    +1.1   +0.12   0.73 
W2    WTI 20d slope<0                 LNG    1991   51.4    +0.8   +0.05   0.73 
C11   Near 20d HIGH                   SHT     529   50.7    +1.6   +0.01   0.72 
D1s   ATR<20-med (compressed)         SHT    2264   49.8    +0.7   -0.02   0.69 
B10   Close>Keltner high              SHT     547   50.5    +1.4   -0.00   0.63 
B2r   Close<BB lower REV              SHT     147   51.7    +2.6   +0.00   0.63 
G2    Tue → long                      LNG     857   51.7    +1.1   +0.04   0.63 
W1    WTI 20d slope>0                 SHT    2273   49.8    +0.7   -0.03   0.63 
M5    2s10s steepening                SHT    1900   49.8    +0.7   -0.03   0.60 
M6    2s10s flattening                LNG    2364   51.2    +0.6   +0.04   0.59 
D6    ATR pctile<0.2 (calm)           LNG    1283   51.2    +0.6   +0.05   0.42 
P2    Bearish engulfing               SHT     355   50.1    +1.0   -0.03   0.39 
C14   MACD cross down                 SHT     174   50.6    +1.5   -0.06   0.39 
C10   Donchian20 breakdown            SHT     247   50.2    +1.1   -0.08   0.35 
A3    RSI>65                          SHT     454   49.8    +0.7   -0.02   0.29 
G1s   Mon → short                     SHT     857   49.6    +0.5   -0.04   0.29 
A2    RSI<30                          LNG     135   51.9    +1.2   +0.20   0.29 
C28   ADX<20 & RSI<30 (range OS)      LNG      11   54.5    +3.9   +0.29   0.26  INSUFF
D5s   Inside bar                      SHT     560   49.6    +0.5   -0.02   0.26 
D2    ATR>1.5x med (expanding)        LNG      42   52.4    +1.8   +0.30   0.23 
G6    January                         LNG     375   51.2    +0.6   +0.10   0.23 
A11   CCI>+100                        SHT     586   49.5    +0.4   +0.02   0.19 
G5s   Fri → short                     SHT     856   49.4    +0.3   -0.04   0.18 
G3s   Wed → short                     SHT     857   49.4    +0.3   -0.04   0.15 
G4    Thu → long                      LNG     856   50.8    +0.2   +0.04   0.12 
S1s   Near big-figure                 SHT    1265   49.2    +0.1   -0.02   0.11 
C9    Donchian20 breakout UP          LNG     287   50.9    +0.3   +0.04   0.09 
D4s   NR7                             SHT     666   49.2    +0.1   -0.04   0.08 
P1    Bullish engulfing               LNG     240   50.8    +0.2   -0.01   0.07 
W6    WTI 5d move<-5%                 LNG     525   50.7    +0.0   +0.01   0.02 
C13   MACD cross up                   LNG     174   50.6    -0.0   -0.07  -0.01 
G4s   Thu → short                     SHT     856   49.1    -0.0   -0.04  -0.02 
C22   PSAR bull                       LNG    2178   50.6    -0.1   +0.02  -0.06 
D4    NR7                             LNG     666   50.5    -0.2   +0.04  -0.09 
G1    Mon → long                      LNG     857   50.4    -0.2   +0.04  -0.12 
D5    Inside bar                      LNG     560   50.4    -0.3   +0.02  -0.12 
S1    Near big-figure (x.xx00)        LNG    1265   50.4    -0.3   +0.02  -0.19 
W3    WTI 1d jump>2%                  SHT     633   48.7    -0.4   -0.03  -0.22 
B6    BB expanding (>20-med)          LNG    2065   50.4    -0.3   +0.01  -0.23 
G3    Wed → long                      LNG     857   50.2    -0.4   +0.04  -0.26 
C23   PSAR bear                       SHT    2104   48.8    -0.3   -0.06  -0.27 
A1    RSI>70                          SHT     220   48.2    -0.9   -0.09  -0.27 
G5    Fri → long                      LNG     856   50.0    -0.6   +0.04  -0.36 
B5    BB squeeze (bw 20-low)          LNG     647   49.8    -0.9   +0.05  -0.43 
D6s   ATR pctile<0.2 (calm)           SHT    1283   48.5    -0.6   -0.05  -0.44 
C3    Close>EMA50                     LNG    2319   50.1    -0.5   +0.01  -0.49 
B2    Close<BB lower                  LNG     147   48.3    -2.3   -0.00  -0.56 
B7    z-score<-2 → long               LNG     147   48.3    -2.3   -0.00  -0.56 
C20   Supertrend bull                 LNG    2391   50.0    -0.6   +0.03  -0.58 
C11r  Near 20d HIGH REV               LNG     529   49.3    -1.3   -0.01  -0.59 
G2s   Tue → short                     SHT     857   48.1    -1.0   -0.04  -0.60 
C1    Close>EMA20                     LNG    2236   49.9    -0.7   +0.01  -0.67 
C4    Close<EMA50                     SHT    1963   48.3    -0.8   -0.08  -0.67 
A10   Williams%R<-80                  LNG     990   49.5    -1.1   +0.07  -0.71 
D1    ATR<20-med (compressed)         LNG    2264   49.9    -0.8   +0.02  -0.71 
C21   Supertrend bear                 SHT    1892   48.3    -0.8   -0.06  -0.74 
C18   Aroon up>70 & down<30           LNG    1046   49.4    -1.2   +0.01  -0.77 
C2    Close<EMA20                     SHT    2046   48.1    -1.0   -0.07  -0.87 
C24   ROC10>0                         LNG    2214   49.7    -0.9   +0.02  -0.88 
C26   ADX>25 & EMA20>50               LNG     972   49.2    -1.4   +0.04  -0.90 
E16   VIX 1d spike>3                  LNG     160   46.9    -3.7   +0.01  -0.95 
C12r  Near 20d LOW REV                SHT     505   46.9    -2.2   -0.12  -0.98 
W4    WTI 1d drop>2%                  LNG     617   48.6    -2.0   -0.06  -0.99 
A12   CCI<-100                        LNG     499   48.1    -2.5   +0.03  -1.13 
C25   ROC10<0                         SHT    2048   47.8    -1.3   -0.06  -1.18 
B1    Close>BB upper                  SHT     267   45.3    -3.8   -0.11  -1.24 
B8    z-score>+2 → short              SHT     267   45.3    -3.8   -0.11  -1.24 
C5    Close>EMA200                    LNG    2523   49.3    -1.3   -0.00  -1.28 
B11   TTM squeeze on                  LNG     674   47.9    -2.7   +0.03  -1.40 
C27   ADX>25 & EMA20<50               SHT     612   46.2    -2.9   -0.05  -1.41 
G9    Turn of month (day>=26)         LNG     764   47.8    -2.8   -0.06  -1.57 
E10   DXY 1d jump>0.5                 LNG     410   46.6    -4.0   -0.02  -1.63 
C29   ADX<20 & RSI>70 (range OB)      SHT      12   25.0   -24.1   -0.11  -1.67  INSUFF
C6    Close<EMA200                    SHT    1759   47.1    -2.0   -0.10  -1.70 
C7    EMA20>EMA50                     LNG    2425   48.7    -1.9   +0.00  -1.85 
P4    Bearish pin                     SHT     746   45.7    -3.4   -0.09  -1.85 
G7    September                       SHT     343   44.0    -5.1   -0.18  -1.88 
C8    EMA20<EMA50                     SHT    1857   46.5    -2.6   -0.09  -2.27 *
C19   Aroon down>70 & up<30           SHT     957   44.6    -4.5   -0.12  -2.77 **
E15   VIX<15                          SHT    1500   45.3    -3.8   -0.10  -2.97 **
E13   VIX>20                          LNG    1249   45.2    -5.5   -0.05  -3.86 **
------------------------------------------------------------------------------
