
==============================================================================
USDCHF Signal Edge Scan — D1 fwd=5 — baseline LNG=51.5% / SHT=48.5% — bars=1157
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
E8    DXY 20d slope<0                 SHT     565   53.5    +4.9   +0.19   2.34 *
E9    DXY 20d slope>0                 LNG     568   56.3    +4.9   +0.07   2.32 *
A10   Williams%R<-80                  LNG     246   58.5    +7.1   +0.09   2.22 *
P2    Bearish engulfing               SHT      83   60.2   +11.7   +0.29   2.14 *
C14   MACD cross down                 SHT      46   63.0   +14.5   +0.53   1.97 
A5    RSI2<10 (Connors)               LNG     306   56.9    +5.4   -0.01   1.89 
B2    Close<BB lower                  LNG      58   63.8   +12.3   -0.18   1.88 
B7    z-score<-2 → long               LNG      58   63.8   +12.3   -0.18   1.88 
A8    Stoch K<20                      LNG     217   57.6    +6.1   +0.13   1.81 
A2    RSI<30                          LNG      64   62.5   +11.0   +0.03   1.76 
B9    Close<Keltner low               LNG     154   58.4    +7.0   -0.04   1.73 
C11r  Near 20d HIGH REV               LNG     135   58.5    +7.0   +0.09   1.64 
A4    RSI<35                          LNG     137   58.4    +6.9   -0.01   1.62 
B6    BB expanding (>20-med)          LNG     513   54.8    +3.3   +0.02   1.50 
M1    US2Y(DGS2) 20d slope<0          SHT     524   51.7    +3.2   +0.14   1.46 
E13   VIX>20                          LNG     406   54.9    +3.5   -0.01   1.39 
M2    US2Y 20d slope>0                LNG     609   54.2    +2.7   +0.01   1.34 
C12   Near 20d LOW                    LNG     103   57.3    +5.8   +0.02   1.18 
D1s   ATR<20-med (compressed)         SHT     616   50.6    +2.1   +0.08   1.06 
E16   VIX 1d spike>3                  LNG      42   59.5    +8.0   +0.02   1.04 
D2    ATR>1.5x med (expanding)        LNG      21   61.9   +10.4   +0.03   0.96  INSUFF
M4    US2Y 5d drop>0.15               SHT     113   52.2    +3.7   +0.16   0.78 
G9    Turn of month (day>=26)         LNG     205   54.1    +2.7   +0.04   0.77 
