
==============================================================================
XAUUSD Signal Edge Scan — D1 fwd=5 — baseline LNG=56.8% / SHT=43.2% — bars=1650
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
A4    RSI<35                          LNG      90   70.0   +13.2   +1.19   2.53 *
C8    EMA20<EMA50                     SHT     548   47.3    +4.0   -0.07   1.91 
A2    RSI<30                          LNG      37   70.3   +13.5   +1.12   1.66 
E6    DFII10 5d jump>+0.15            SHT     154   49.4    +6.1   -0.53   1.54 
D4    NR7                             LNG     230   61.3    +4.5   +0.36   1.39 
E2    DFII10 20d slope>0              SHT     847   45.6    +2.4   -0.27   1.38 
C7    EMA20>EMA50                     LNG    1096   58.8    +2.0   +0.46   1.32 
B9    Close<Keltner low               LNG     118   62.7    +5.9   +0.82   1.30 
E1    DFII10 20d slope<0              LNG     779   59.1    +2.3   +0.38   1.28 
G6    January                         LNG     135   61.5    +4.7   +0.57   1.10 
E9    DXY 20d slope>0                 SHT     794   45.1    +1.9   -0.20   1.06 
C12r  Near 20d LOW REV                SHT      43   51.2    +7.9   +0.04   1.05 
C9    Donchian20 breakout UP          LNG     162   60.5    +3.7   +0.32   0.95 
C23   PSAR bear                       SHT     742   44.9    +1.7   -0.25   0.91 
E8    DXY 20d slope<0                 LNG     832   58.3    +1.5   +0.43   0.88 
A12   CCI<-100                        LNG     148   60.1    +3.4   +0.52   0.82 
C22   PSAR bull                       LNG     902   58.1    +1.3   +0.39   0.80 
B2    Close<BB lower                  LNG      65   61.5    +4.8   +0.77   0.77 
B7    z-score<-2 → long               LNG      65   61.5    +4.8   +0.77   0.77 
C18   Aroon up>70 & down<30           LNG     494   58.3    +1.5   +0.51   0.68 
D1s   ATR<20-med (compressed)         SHT     871   44.3    +1.1   -0.27   0.65 
B1r   Close>BB upper REV              LNG     138   59.4    +2.6   +0.49   0.63 
B6    BB expanding (>20-med)          LNG     759   57.8    +1.1   +0.33   0.59 
C13   MACD cross up                   LNG      65   60.0    +3.2   +0.58   0.52 
G1s   Mon → short                     SHT     331   44.4    +1.2   -0.35   0.44 
C29   ADX<20 & RSI>70 (range OB)      SHT      10   50.0    +6.8   -0.12   0.43  INSUFF
P1    Bullish engulfing               LNG      83   59.0    +2.3   +0.36   0.42 
G3    Wed → long                      LNG     329   57.8    +1.0   +0.32   0.36 
C11r  Near 20d HIGH REV               LNG     142   57.7    +1.0   +0.44   0.23 
C14   MACD cross down                 SHT      65   44.6    +1.4   -0.42   0.23 
C4    Close<EMA50                     SHT     570   43.7    +0.5   -0.22   0.22 
E7    DFII10 5d drop>0.15             LNG     104   57.7    +0.9   +0.51   0.19 
G5    Fri → long                      LNG     325   57.2    +0.5   +0.33   0.16 
C3    Close>EMA50                     LNG    1074   57.0    +0.2   +0.38   0.14 
A11   CCI>+100                        SHT     266   43.6    +0.4   -0.19   0.13 
A10   Williams%R<-80                  LNG     259   57.1    +0.4   +0.41   0.12 
G2s   Tue → short                     SHT     330   43.3    +0.1   -0.32   0.04 
G4s   Thu → short                     SHT     330   43.3    +0.1   -0.32   0.04 
D6    ATR pctile<0.2 (calm)           LNG     334   56.9    +0.1   +0.29   0.04 
C21   Supertrend bear                 SHT     733   43.2    +0.0   -0.38   0.01 
C20   Supertrend bull                 LNG     912   56.8    +0.0   +0.28   0.01 
D5    Inside bar                      LNG     257   56.8    +0.0   +0.55   0.01 
D5s   Inside bar                      SHT     257   43.2    -0.0   -0.55  -0.01 
D6s   ATR pctile<0.2 (calm)           SHT     334   43.1    -0.1   -0.29  -0.04 
G2    Tue → long                      LNG     330   56.7    -0.1   +0.32  -0.04 
G4    Thu → long                      LNG     330   56.7    -0.1   +0.32  -0.04 
E10   DXY 1d jump>0.5                 SHT     184   42.9    -0.3   -0.38  -0.08 
A7    Stoch K>80                      SHT     463   43.0    -0.2   -0.39  -0.10 
A9    Williams%R>-20                  SHT     484   43.0    -0.2   -0.42  -0.11 
C26   ADX>25 & EMA20>50               LNG     572   56.5    -0.3   +0.48  -0.15 
G5s   Fri → short                     SHT     325   42.8    -0.5   -0.33  -0.16 
G9    Turn of month (day>=26)         LNG     295   56.3    -0.5   +0.52  -0.18 
A8    Stoch K<20                      LNG     214   56.1    -0.7   +0.44  -0.21 
C11   Near 20d HIGH                   SHT     142   42.3    -1.0   -0.44  -0.23 
B5    BB squeeze (bw 20-low)          LNG     243   56.0    -0.8   +0.17  -0.26 
P4    Bearish pin                     SHT     283   42.4    -0.8   -0.33  -0.28 
C24   ROC10>0                         LNG     944   56.2    -0.5   +0.34  -0.33 
G3s   Wed → short                     SHT     329   42.2    -1.0   -0.32  -0.36 
C10   Donchian20 breakdown            SHT      64   40.6    -2.6   -0.28  -0.42 
G1    Mon → long                      LNG     331   55.6    -1.2   +0.35  -0.44 
C25   ROC10<0                         SHT     691   42.3    -1.0   -0.32  -0.51 
G7    September                       SHT     130   40.8    -2.5   -0.21  -0.56 
B1    Close>BB upper                  SHT     138   40.6    -2.6   -0.49  -0.63 
B8    z-score>+2 → short              SHT     138   40.6    -2.6   -0.49  -0.63 
D1    ATR<20-med (compressed)         LNG     871   55.7    -1.1   +0.27  -0.65 
C1    Close>EMA20                     LNG     973   55.7    -1.1   +0.31  -0.68 
E15   VIX<15                          SHT     284   41.2    -2.0   -0.53  -0.69 
P3    Bullish pin (tail≥2.5body)      LNG     276   54.7    -2.1   +0.32  -0.69 
A1    RSI>70                          SHT     201   40.8    -2.4   -0.45  -0.69 
B2r   Close<BB lower REV              SHT      65   38.5    -4.8   -0.77  -0.77 
C2    Close<EMA20                     SHT     671   41.7    -1.5   -0.35  -0.78 
E13   VIX>20                          LNG     718   55.3    -1.5   +0.22  -0.80 
C5    Close>EMA200                    LNG    1291   55.6    -1.2   +0.30  -0.84 
E16   VIX 1d spike>3                  LNG      77   51.9    -4.8   +0.10  -0.86 
A5    RSI2<10 (Connors)               LNG     401   54.6    -2.2   +0.32  -0.88 
C12   Near 20d LOW                    LNG      43   48.8    -7.9   -0.04  -1.05 
C28   ADX<20 & RSI<30 (range OS)      LNG       6   33.3   -23.4   +0.17  -1.16  INSUFF
A6    RSI2>90 (Connors)               SHT      84   36.9    -6.3   -0.25  -1.17 
D4s   NR7                             SHT     230   38.7    -4.5   -0.36  -1.39 
A3    RSI>65                          SHT     333   39.3    -3.9   -0.48  -1.43 
P2    Bearish engulfing               SHT     108   36.1    -7.1   -0.69  -1.49 
C27   ADX>25 & EMA20<50               SHT     215   38.1    -5.1   -0.60  -1.50 
C6    Close<EMA200                    SHT     353   39.1    -4.1   -0.42  -1.57 
B10   Close>Keltner high              SHT     345   38.8    -4.4   -0.47  -1.64 
D2    ATR>1.5x med (expanding)        LNG      77   46.8   -10.0   +0.16  -1.78 
C19   Aroon down>70 & up<30           SHT     222   36.0    -7.2   -0.58  -2.16 *
B11   TTM squeeze on                  LNG     166   45.2   -11.6   -0.16  -3.02 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
XAUUSD Signal Edge Scan — H4 fwd=6 — baseline LNG=53.8% / SHT=46.1% — bars=9784
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
A10   Williams%R<-80                  LNG    1673   58.2    +4.3   +0.07   3.54 **
A8    Stoch K<20                      LNG    1430   58.3    +4.5   +0.11   3.40 **
D6s   ATR pctile<0.2 (calm)           SHT    2489   48.8    +2.6   -0.03   2.64 **
A2    RSI<30                          LNG     473   59.2    +5.4   +0.15   2.33 *
A4    RSI<35                          LNG    1003   57.4    +3.6   +0.10   2.28 *
B1r   Close>BB upper REV              LNG     666   58.1    +4.3   +0.12   2.21 *
B9    Close<Keltner low               LNG    1129   56.7    +2.8   +0.06   1.92 
A5    RSI2<10 (Connors)               LNG    2604   55.4    +1.6   +0.06   1.61 
C23   PSAR bear                       SHT    4647   47.0    +0.9   -0.02   1.18 
A1    RSI>70                          SHT     985   47.9    +1.8   -0.10   1.12 
C22   PSAR bull                       LNG    5130   54.6    +0.8   +0.11   1.11 
H4o   NY/London overlap 12-16         LNG    3271   54.8    +1.0   +0.07   1.11 
C11r  Near 20d HIGH REV               LNG    1676   55.2    +1.3   +0.13   1.10 
H2s   London open 07-09               SHT    1643   47.4    +1.3   -0.06   1.04 
A3    RSI>65                          SHT    1805   47.3    +1.2   -0.07   1.00 
C21   Supertrend bear                 SHT    4675   46.8    +0.7   -0.01   0.97 
C20   Supertrend bull                 LNG    5103   54.5    +0.7   +0.12   0.93 
C14   MACD cross down                 SHT     386   48.4    +2.3   -0.02   0.91 
C6    Close<EMA200                    SHT    3647   46.7    +0.6   -0.05   0.71 
P3    Bullish pin (tail≥2.5body)      LNG    1813   54.7    +0.8   +0.08   0.70 
C19   Aroon down>70 & up<30           SHT    1752   46.9    +0.8   -0.01   0.66 
B6    BB expanding (>20-med)          LNG    4660   54.3    +0.5   +0.05   0.64 
A6    RSI2>90 (Connors)               SHT     436   47.5    +1.3   -0.06   0.56 
C12   Near 20d LOW                    LNG     913   54.8    +0.9   +0.01   0.56 
C5    Close>EMA200                    LNG    6130   54.2    +0.3   +0.08   0.55 
A12   CCI<-100                        LNG    1073   54.6    +0.8   -0.00   0.50 
D5    Inside bar                      LNG    1984   54.4    +0.5   +0.07   0.48 
D4    NR7                             LNG    1210   54.5    +0.6   +0.12   0.43 
C9    Donchian20 breakout UP          LNG     700   54.6    +0.7   +0.12   0.39 
D1s   ATR<20-med (compressed)         SHT    4986   46.4    +0.2   -0.08   0.33 
C4    Close<EMA50                     SHT    4047   46.3    +0.2   -0.04   0.25 
C3    Close>EMA50                     LNG    5730   54.0    +0.1   +0.09   0.20 
B2    Close<BB lower                  LNG     504   54.2    +0.3   -0.02   0.14 
B7    z-score<-2 → long               LNG     504   54.2    +0.3   -0.02   0.14 
C8    EMA20<EMA50                     SHT    4037   46.2    +0.1   -0.07   0.11 
C7    EMA20>EMA50                     LNG    5740   53.9    +0.1   +0.06   0.09 
C2    Close<EMA20                     SHT    4346   46.1    +0.0   -0.03   0.00 
C1    Close>EMA20                     LNG    5431   53.8    -0.0   +0.10  -0.01 
P4    Bearish pin                     SHT    1705   46.0    -0.1   -0.09  -0.08 
B10   Close>Keltner high              SHT    1918   46.0    -0.1   -0.09  -0.08 
P2    Bearish engulfing               SHT     614   45.9    -0.2   -0.04  -0.10 
B2r   Close<BB lower REV              SHT     504   45.6    -0.5   +0.02  -0.22 
P1    Bullish engulfing               LNG     684   53.4    -0.5   +0.06  -0.25 
D1    ATR<20-med (compressed)         LNG    4986   53.6    -0.3   +0.08  -0.36 
D5s   Inside bar                      SHT    1984   45.6    -0.5   -0.07  -0.46 
D4s   NR7                             SHT    1210   45.5    -0.7   -0.12  -0.47 
B11   TTM squeeze on                  LNG    1006   53.1    -0.8   +0.06  -0.49 
C13   MACD cross up                   LNG     385   52.5    -1.4   +0.06  -0.54 
C12r  Near 20d LOW REV                SHT     913   45.1    -1.0   -0.01  -0.61 
A7    Stoch K>80                      SHT    2516   45.5    -0.6   -0.11  -0.63 
C28   ADX<20 & RSI<30 (range OS)      LNG      38   47.4    -6.5   +0.07  -0.80 
C26   ADX>25 & EMA20>50               LNG    2750   53.1    -0.8   +0.06  -0.83 
D2    ATR>1.5x med (expanding)        LNG     265   50.9    -2.9   -0.20  -0.95 
C29   ADX<20 & RSI>70 (range OB)      SHT      51   39.2    -6.9   -0.17  -0.99 
C24   ROC10>0                         LNG    5319   53.1    -0.7   +0.08  -1.02 
H2    London open 07-09               LNG    1643   52.6    -1.3   +0.06  -1.02 
B5    BB squeeze (bw 20-low)          LNG    1633   52.5    -1.3   +0.10  -1.06 
C11   Near 20d HIGH                   SHT    1676   44.8    -1.3   -0.13  -1.09 
C25   ROC10<0                         SHT    4445   45.3    -0.8   -0.05  -1.10 
C10   Donchian20 breakdown            SHT     413   43.3    -2.8   -0.04  -1.14 
A11   CCI>+100                        SHT    1460   43.9    -2.2   -0.11  -1.71 
A9    Williams%R>-20                  SHT    2653   44.0    -2.1   -0.13  -2.18 *
B1    Close>BB upper                  SHT     666   41.9    -4.2   -0.12  -2.20 *
B8    z-score>+2 → short              SHT     666   41.9    -4.2   -0.12  -2.20 *
D6    ATR pctile<0.2 (calm)           LNG    2489   51.2    -2.7   +0.03  -2.66 **
C18   Aroon up>70 & down<30           LNG    2694   50.7    -3.1   +0.02  -3.27 **
C27   ADX>25 & EMA20<50               SHT    1879   42.0    -4.1   -0.11  -3.60 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
XAUUSD Signal Edge Scan — H1 fwd=4 — baseline LNG=52.0% / SHT=47.9% — bars=37766
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
A7    Stoch K>80                      SHT    8450   50.3    +2.4   -0.01   4.40 **
